,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
206,Oregon,32,19,13,.594,11.32,8.84,8,10,,,,,2415,2318,,,101.5,.377,.351,.537,53.6,62.7,8.2,8.4,.504,19.5,36.0,.259
207,Pacific,27,14,13,.519,-3.42,-3.42,9,7,,,,,1850,1762,,,106.6,.358,.418,.556,53.0,66.6,7.0,6.1,.520,19.0,35.7,.262
208,Penn State,27,13,14,.481,11.17,8.61,5,11,,,,,1870,1801,,,103.5,.344,.385,.553,48.7,64.3,9.7,11.3,.514,18.7,31.7,.257
209,Pennsylvania NCAA,27,21,6,.778,6.50,-3.91,13,1,,,,,1921,1640,,,109.2,.351,.360,.561,53.6,59.8,8.5,8.2,.540,17.0,33.4,.228
210,Pepperdine,32,19,13,.594,3.17,1.87,9,5,,,,,2101,2023,,,95.2,.384,.251,.523,51.2,57.2,9.7,9.6,.492,21.3,32.7,.251
211,Pittsburgh,30,14,16,.467,4.06,7.23,5,13,,,,,2017,2112,,,94.1,.268,.284,.491,48.7,53.4,15.8,10.1,.460,19.3,35.7,.188
212,Portland State,28,17,11,.607,-0.91,-2.84,9,7,,,,,2216,2075,,,109.1,.394,.409,.560,51.6,64.4,8.3,4.5,.523,15.8,32.3,.283
213,Portland,27,9,18,.333,-5.59,0.33,3,11,,,,,1820,1878,,,95.5,.368,.266,.508,46.4,56.7,14.0,8.7,.476,19.8,33.1,.242
214,Prairie View,27,6,21,.222,-25.56,-9.61,4,12,,,,,1974,2296,,,88.4,.356,.317,.451,47.9,42.2,12.1,7.8,.427,20.4,40.0,.202
215,Princeton,30,22,8,.733,5.63,-2.64,11,3,,,,,1858,1585,,,108.0,.320,.479,.570,50.9,69.4,14.6,11.6,.539,18.2,32.3,.237
216,Providence,30,16,14,.533,8.30,8.33,9,9,,,,,2284,2285,,,99.6,.367,.285,.504,47.5,59.6,14.7,5.0,.462,17.3,37.1,.261
217,Purdue NCAA,34,21,13,.618,13.22,10.42,7,9,,,,,2328,2233,,,101.6,.418,.311,.524,49.7,59.3,12.0,8.3,.488,18.7,37.3,.280
218,Quinnipiac,27,9,18,.333,-17.32,-7.36,6,14,,,,,1837,2067,,,91.6,.419,.278,.522,47.5,59.3,9.1,4.7,.483,23.3,31.0,.285
219,Radford,28,20,8,.714,-6.41,-9.27,8,2,,,,,2195,2012,,,105.2,.419,.374,.550,49.2,57.5,16.3,7.6,.516,18.3,34.9,.287
220,Rhode Island NCAA,33,20,13,.606,9.52,5.59,10,6,,,,,2377,2245,,,104.7,.382,.199,.526,53.5,53.1,8.5,11.0,.495,17.9,41.4,.254
221,Rice,28,18,10,.643,6.80,1.73,8,6,,,,,1911,1737,,,100.6,.465,.340,.531,50.6,58.2,10.0,7.3,.495,18.5,32.0,.305
222,Richmond,27,15,12,.556,-2.34,-3.49,10,6,,,,,1816,1785,,,103.2,.339,.324,.540,48.6,53.6,8.7,10.0,.506,17.8,31.7,.244
223,Rider,28,12,16,.429,-3.89,-4.89,7,11,,,,,2053,2025,,,102.7,.434,.307,.552,51.2,62.3,10.8,7.2,.514,20.4,36.7,.302
224,Robert Morris,27,15,12,.556,-6.55,-8.17,12,8,,,,,1951,1870,,,97.6,.388,.277,.539,51.3,56.4,10.8,3.8,.490,21.2,31.9,.296
225,Rutgers,32,19,13,.594,12.30,7.30,9,9,,,,,2248,2088,,,,.486,.330,.549,49.7,63.0,,6.6,.505,,32.9,.343
226,Sacramento State,26,3,23,.115,-18.40,-0.67,3,13,,,,,1568,2029,,,84.3,.222,.349,.452,44.0,55.7,10.7,9.9,.438,20.3,29.2,.123
227,Saint Francis (PA),26,9,17,.346,-12.74,-8.24,7,13,,,,,1751,1868,,,94.9,.359,.312,.507,47.1,56.6,11.9,6.5,.481,20.3,33.5,.225
228,Saint Joseph's,30,12,18,.400,2.18,5.04,5,11,,,,,1981,2028,,,,.379,.269,.477,47.5,56.6,,10.3,.444,,33.7,.239
229,Saint Louis,31,15,16,.484,8.77,7.19,8,8,,,,,2024,1975,,,97.1,.360,.319,.513,48.8,60.4,12.5,6.8,.478,19.9,35.5,.246
230,Saint Mary's (CA),31,13,18,.419,-2.48,0.22,5,9,,,,,2108,2182,,,,.346,.424,.521,50.0,62.1,,3.8,.485,,32.8,.242
231,Saint Peter's,29,14,15,.483,-6.35,-5.00,10,8,,,,,2021,2060,,,97.7,.356,.162,.507,52.0,59.1,12.4,9.3,.474,19.2,38.5,.237
232,Sam Houston State,26,10,16,.385,-13.10,-6.18,7,11,,,,,1832,1990,,,94.0,.346,.319,.513,46.5,59.4,9.7,5.0,.475,20.3,29.7,.244
233,Samford NCAA,30,24,6,.800,0.17,-9.16,15,1,,,,,2188,1881,,,110.1,.442,.512,.608,47.7,66.1,11.8,8.3,.584,19.4,28.3,.304
234,San Diego State,26,4,22,.154,-11.73,2.19,2,12,,,,,1745,2039,,,90.6,.419,.292,.486,44.8,54.1,10.7,5.3,.454,20.1,32.0,.256
235,San Diego,27,18,9,.667,3.45,-0.87,9,5,,,,,1823,1677,,,103.8,.448,.320,.568,54.3,62.2,8.1,5.3,.525,20.2,33.7,.327
236,San Francisco,30,12,18,.400,-2.93,2.38,4,10,,,,,1905,2043,,,93.1,.405,.323,.490,51.6,56.5,10.9,9.2,.449,20.9,37.7,.271
237,San Jose State,28,12,16,.429,0.07,0.77,5,9,,,,,1827,1805,,,97.4,.391,.243,.512,51.7,60.0,10.5,5.7,.484,19.1,35.5,.247
238,Santa Clara,29,14,15,.483,-1.69,1.62,8,6,,,,,1886,1982,,,98.2,.431,.272,.517,49.6,55.4,7.0,6.2,.470,18.5,32.5,.307
239,Seton Hall,30,15,15,.500,9.42,8.04,8,10,,,,,2029,1927,,,100.6,.345,.296,.508,50.4,59.9,11.2,10.5,.466,18.2,36.1,.252
240,Siena NCAA,31,25,6,.806,2.07,-4.87,13,5,,,,,2686,2473,,,106.6,.434,.337,.566,50.4,56.0,12.7,8.6,.512,19.8,37.5,.342
241,South Alabama,27,11,16,.407,-4.25,0.83,6,8,,,,,1611,1728,,,91.6,.389,.218,.505,52.9,68.9,10.7,3.4,.475,22.7,35.4,.246
242,South Carolina State,29,17,12,.586,-11.75,-9.34,14,4,,,,,1905,1976,,,98.3,.380,.305,.482,53.3,50.1,9.1,12.1,.445,19.0,45.8,.248
243,South Carolina,29,8,21,.276,0.57,8.12,3,13,,,,,1745,1964,,,92.0,.318,.322,.485,49.8,53.5,10.1,8.3,.452,20.7,36.1,.213
244,South Florida,28,14,14,.500,7.93,4.00,6,10,,,,,2006,1896,,,,.380,.254,.495,50.1,56.7,,9.7,.473,,34.3,.224
245,Southeast Missouri State,29,20,9,.690,0.99,-4.49,15,3,,,,,2044,1834,,,103.3,.383,.308,.542,53.5,55.4,9.3,10.6,.503,19.3,36.0,.277
246,Southeastern Louisiana,26,6,20,.231,-22.23,-6.81,3,15,,,,,1825,2158,,,87.4,.352,.311,.489,48.8,49.9,8.7,7.0,.459,22.6,31.5,.223
247,Southern California,28,15,13,.536,11.27,7.63,7,11,,,,,2123,2021,,,100.0,.369,.310,.529,49.5,58.1,12.4,10.5,.494,18.9,33.3,.256
248,Southern Illinois,27,15,12,.556,7.32,5.43,10,8,,,,,1746,1695,,,95.5,.325,.421,.496,51.3,67.1,11.0,5.9,.470,19.9,35.9,.204
249,Southern Methodist,30,15,15,.500,2.05,2.73,7,7,,,,,2236,2232,,,101.2,.372,.320,.482,51.2,45.1,11.2,10.8,.448,15.4,37.8,.239
250,Southern Mississippi,30,14,16,.467,4.16,2.96,6,10,,,,,1871,1835,,,97.1,.409,.261,.512,50.2,56.3,10.5,8.0,.466,19.1,34.4,.291
251,Southern Utah,30,13,17,.433,-7.62,-3.12,6,8,,,,,2193,2264,,,102.9,.386,.339,.548,48.7,59.3,10.3,10.4,.512,18.2,31.9,.273
252,Southern,28,21,7,.750,-7.21,-13.92,13,3,,,,,2372,2155,,,105.0,.422,.232,.527,50.8,47.5,14.3,8.7,.488,17.5,40.3,.289
253,St. Bonaventure,29,14,15,.483,0.97,2.01,8,8,,,,,1860,1890,,,93.1,.330,.294,.480,49.0,48.2,14.2,12.6,.446,19.8,36.3,.218
254,St. Francis (NY),28,20,8,.714,-3.61,-7.58,16,4,,,,,2246,2125,,,102.9,.411,.381,.542,47.4,59.3,14.4,6.8,.510,18.5,33.2,.277
255,St. John's (NY) NCAA,37,28,9,.757,22.71,9.09,14,4,,,,,2924,2420,,,111.2,.351,.271,.537,54.1,57.7,13.9,7.9,.507,15.5,42.0,.239
256,Stanford NCAA,33,26,7,.788,22.21,10.34,15,3,,,,,2425,2006,,,108.9,.487,.308,.538,55.9,64.3,8.4,7.3,.491,16.2,40.2,.344
257,Stephen F. Austin,26,4,22,.154,-16.81,-6.41,2,16,,,,,1794,2038,,,89.5,.308,.239,.490,47.2,62.6,12.0,5.7,.463,20.6,30.6,.197
258,Stetson,27,14,13,.519,-8.20,-9.66,10,6,,,,,1860,1778,,,102.9,.380,.198,.519,56.3,55.0,10.7,6.7,.479,18.6,43.0,.267
259,Syracuse NCAA,33,21,12,.636,15.86,7.64,10,8,,,,,2387,2086,,,101.8,.342,.301,.523,52.9,61.2,14.0,16.5,.495,19.2,39.8,.227
260,Temple NCAA,35,24,11,.686,17.05,8.97,13,3,,,,,2331,2048,,,107.1,.356,.370,.502,50.7,54.4,16.0,12.8,.471,13.9,39.1,.233
261,Tennessee-Martin,26,8,18,.308,-14.00,-3.39,5,13,,,,,1666,1864,,,96.6,.282,.403,.571,44.7,68.0,11.5,7.6,.544,23.7,25.2,.208
262,Tennessee State,27,12,15,.444,-10.33,-5.21,9,9,,,,,1918,1986,,,100.1,.316,.307,.491,52.6,49.4,10.1,7.4,.461,17.3,40.5,.207
263,Tennessee Tech,27,12,15,.444,-10.09,-5.13,8,10,,,,,1814,1874,,,97.6,.398,.388,.522,49.5,54.4,9.6,5.8,.477,19.5,32.2,.287
264,Tennessee NCAA,30,21,9,.700,14.08,6.45,12,4,,,,,2178,1949,,71.1,101.6,.452,.356,.526,50.2,56.9,12.2,15.2,.482,18.9,36.3,.315
265,Texas A&M,27,12,15,.444,-0.85,2.92,5,11,,,,,1871,1973,,,95.3,.438,.344,.510,49.4,61.0,11.1,7.0,.465,20.8,34.2,.302
266,Texas-Arlington,26,10,16,.385,-11.47,-7.72,8,10,,,,,1850,1931,,,97.7,.346,.284,.511,49.0,59.7,12.1,4.8,.475,19.1,34.4,.240
267,Texas Christian,32,21,11,.656,10.00,4.90,7,7,,,,,2776,2593,,,111.8,.382,.287,.573,50.6,64.6,10.0,9.1,.546,16.8,36.4,.261
268,Texas-El Paso,28,16,12,.571,4.42,1.38,8,6,,,,,1934,1831,,,83.0,.513,.318,.556,51.9,57.6,7.2,7.4,.510,33.5,33.3,.362
269,Texas-Rio Grande Valley,27,5,22,.185,-8.08,0.66,,,,,,,1988,2224,,,94.6,.222,.360,.502,44.9,51.5,12.9,4.0,.480,19.2,31.6,.150
270,Texas-San Antonio NCAA,29,18,11,.621,-6.47,-7.03,12,6,,,,,2247,2188,,,103.9,.424,.335,.551,48.8,58.3,10.8,9.8,.532,19.1,33.3,.261
271,Texas Southern,27,8,19,.296,-17.98,-9.94,6,10,,,,,1748,1920,,,91.0,.397,.272,.492,48.3,51.5,12.3,4.7,.448,20.8,32.2,.274
272,Texas State,28,19,9,.679,-3.12,-8.23,13,5,,,,,1991,1767,,,101.3,.392,.249,.507,54.4,49.7,11.1,7.1,.470,17.2,38.0,.263
273,Texas Tech,30,13,17,.433,-0.34,3.06,5,11,,,,,2109,2211,,,96.0,.425,.281,.542,50.2,59.3,9.3,8.4,.506,23.0,33.5,.292
274,Texas NCAA,32,19,13,.594,10.32,6.79,13,3,,,,,2189,2076,,,99.1,.471,.268,.507,53.0,49.3,11.8,12.9,.468,19.3,39.2,.306
275,Toledo,28,19,9,.679,8.45,3.09,11,7,,,,,1983,1774,,,101.4,.462,.307,.545,51.7,51.8,12.8,4.8,.504,19.5,34.1,.319
276,Towson,28,6,22,.214,-14.90,-5.12,4,14,,,,,1663,1937,,,90.2,.323,.293,.489,48.1,59.1,11.3,6.3,.453,20.9,32.3,.222
277,Troy,27,9,18,.333,-16.31,-8.51,6,10,,,,,2051,2230,,,100.3,.340,.417,.514,44.3,48.2,10.4,3.5,.475,15.7,29.4,.245
278,Tulane,27,12,15,.444,1.75,2.82,6,10,,,,,1906,1935,,,97.7,.413,.262,.504,49.4,51.9,14.3,7.6,.470,19.8,38.8,.266
279,Tulsa NCAA,33,23,10,.697,10.72,4.45,9,5,,,,,2319,2112,,,98.9,.463,.355,.533,52.2,59.5,12.4,14.9,.497,21.4,36.5,.305
280,UCLA NCAA,31,22,9,.710,15.26,8.84,12,6,,,,,2392,2193,,,101.5,.365,.251,.515,51.1,54.2,13.1,10.0,.495,18.5,39.1,.218
281,Utah State,28,15,13,.536,0.21,-2.23,8,8,,,,,2006,1903,,,104.0,.379,.264,.548,53.9,52.8,8.6,6.3,.523,19.5,38.4,.247
282,Utah NCAA,33,28,5,.848,17.97,3.30,14,0,,,,,2352,1827,,,113.8,.327,.340,.563,56.4,61.1,11.5,10.6,.536,15.7,39.0,.229
283,Valparaiso NCAA,32,23,9,.719,4.40,-3.64,10,4,,,,,2326,2046,,,107.9,.356,.347,.560,55.2,62.9,9.5,12.5,.529,19.4,39.4,.252
284,Vanderbilt,29,14,15,.483,5.78,6.71,5,11,,,,,2091,2075,,,100.5,.345,.391,.521,50.8,55.9,12.4,5.7,.486,19.1,36.3,.241
285,Vermont,27,11,16,.407,-10.60,-8.38,7,11,,,,,1764,1824,,,94.5,.340,.292,.468,49.0,51.4,9.9,8.6,.431,16.1,34.5,.226
286,Villanova NCAA,32,21,11,.656,12.02,7.89,10,8,,,,,2399,2262,,,106.4,.371,.333,.546,51.0,58.0,10.3,10.9,.507,18.3,37.6,.272
287,Virginia Commonwealth,31,15,16,.484,-2.07,-2.30,8,8,,,,,2221,2214,,,99.8,.326,.352,.508,50.9,52.2,10.4,11.0,.477,18.5,37.7,.220
288,VMI,27,12,15,.444,-13.96,-4.78,9,7,,,,,1897,2020,,,91.2,.363,.298,.491,44.2,54.6,14.3,6.4,.452,19.3,29.6,.246
289,Virginia Tech,28,13,15,.464,0.71,1.46,7,9,,,,,1829,1850,,,97.5,.343,.279,.505,50.3,50.5,9.2,14.7,.478,19.8,38.3,.217
290,Virginia,30,14,16,.467,7.00,9.14,4,12,,,,,2183,2210,,,100.4,.379,.362,.525,45.3,55.2,11.8,11.9,.481,18.1,31.6,.278
291,Wagner,27,9,18,.333,-12.08,-7.15,7,13,,,,,1805,1938,,,93.0,.438,.287,.505,50.2,66.4,11.7,11.6,.471,22.6,35.8,.279
292,Wake Forest,31,17,14,.548,9.81,8.13,7,9,,,,,2066,2014,,,100.1,.408,.342,.533,49.8,50.8,9.2,6.0,.490,19.0,31.6,.294
293,Washington State,29,10,19,.345,2.95,8.80,4,14,,,,,2116,2274,,,97.3,.457,.332,.529,46.0,47.0,10.9,6.3,.482,20.2,31.3,.324
294,Washington NCAA,29,17,12,.586,11.62,10.02,10,8,,,,,2152,2073,,,102.0,.489,.260,.556,50.8,59.4,8.9,6.7,.522,19.6,32.2,.326
295,Weber State NCAA,33,25,8,.758,5.31,0.21,13,3,,,,,2611,2409,,,109.7,.362,.283,.563,52.7,55.4,13.1,7.2,.532,17.5,37.7,.256
296,West Virginia,29,10,19,.345,2.98,8.55,4,14,,,,,1934,2063,,,96.8,.324,.258,.500,50.1,57.5,13.0,12.0,.473,20.2,39.6,.207
297,Western Carolina,29,8,21,.276,-21.99,-2.23,2,14,,,,,1854,2292,,,86.9,.366,.358,.485,45.4,56.3,9.6,5.0,.452,21.5,27.2,.235
298,Western Illinois,28,16,12,.571,-3.75,-3.67,9,5,,,,,2025,2019,,,104.7,.412,.319,.549,50.6,63.9,8.8,5.8,.520,19.4,36.4,.273
299,Western Kentucky,29,13,16,.448,-1.39,1.04,7,7,,,,,1862,1927,,,94.7,.383,.320,.522,49.0,51.7,10.9,4.3,.481,21.0,31.9,.272
300,Western Michigan,26,11,15,.423,-1.02,3.54,6,12,,,,,1823,1924,,,98.0,.393,.290,.532,49.3,53.2,11.0,5.8,.480,20.3,33.7,.301
301,Wichita State,30,13,17,.433,1.48,3.34,6,12,,,,,2092,2117,,,101.8,.398,.357,.552,52.4,64.7,10.2,7.2,.519,21.6,36.6,.274
302,William & Mary,27,8,19,.296,-10.44,-3.60,3,13,,,,,1742,1852,,,93.1,.272,.355,.500,46.1,52.6,9.8,8.2,.475,19.6,29.3,.180
303,Winthrop NCAA,29,21,8,.724,-6.67,-8.72,9,1,,,,,1995,1874,,,102.0,.444,.360,.529,51.4,61.5,11.0,7.7,.495,18.9,35.5,.291
304,Wisconsin NCAA,32,22,10,.688,17.28,10.37,9,7,,,,,1987,1766,,,102.0,.355,.364,.541,48.8,63.2,11.5,7.7,.500,17.0,28.4,.263
305,Wofford,27,11,16,.407,-9.90,-5.54,8,8,,,,,1875,1912,,,98.9,.350,.307,.516,46.3,53.5,12.6,8.4,.481,16.8,29.4,.240
306,Wright State,27,9,18,.333,-5.36,-1.83,4,10,,,,,1859,1924,,,95.4,.418,.211,.507,50.6,51.7,10.9,11.4,.462,20.4,36.4,.290
307,Wyoming,28,18,10,.643,7.05,1.98,7,7,,,,,2286,2144,,,101.2,.406,.319,.511,50.8,67.3,11.7,8.6,.478,16.2,34.9,.263
308,Xavier,36,25,11,.694,12.95,3.89,12,4,,,,,2783,2457,,,107.2,.429,.380,.556,50.6,53.6,12.6,10.2,.511,18.6,37.9,.315
309,Yale,26,4,22,.154,-17.87,-8.75,2,12,,,,,1543,1742,,,92.0,.314,.328,.499,49.9,52.8,9.8,6.5,.470,21.4,33.0,.207
310,Youngstown State,28,14,14,.500,-2.94,-4.60,9,5,,,,,1890,1810,,,102.2,.265,.326,.523,52.1,62.3,11.4,9.1,.494,18.4,37.9,.189
